SUBJECT	SESSION	RUN	TRIAL	73KID	10KID	TIME	ISOLD	ISCORRECT	RT	CHANGEMIND	MEMORYRECENT	MEMORYFIRST	ISOLDCURRENT	ISCORRECTCURRENT	TOTAL1	TOTAL2	BUTTON	MISSINGDATA
3	1	3	10	4578	9754	0.40926896408200263977	0	1	653.73910999915096909	0	NaN	NaN	0	1	1	0	1	0
3	1	3	11	67843	7300	0.40936155617237091064	0	1	706.29334499244578183	0	NaN	NaN	0	1	1	0	1	0
3	1	3	12	35919	1104	0.40940783778205513954	0	1	779.33852800924796611	0	NaN	NaN	0	1	1	0	1	0
3	1	3	13	53374	7313	0.40945414453744888306	0	1	561.00589899870101362	0	NaN	NaN	0	1	1	0	1	0
3	1	3	14	65715	3250	0.40950041671749204397	0	1	803.45956399105489254	0	NaN	NaN	0	1	1	0	1	0
3	1	3	15	53670	6726	0.40954672941006720066	0	1	648.66608200827613473	0	NaN	NaN	0	1	1	0	1	0
3	1	3	16	72172	8054	0.40959301567636430264	0	1	535.85569499409757555	0	NaN	NaN	0	1	1	0	1	0
3	1	3	17	13656	7613	0.40963931102305650711	0	1	463.48640100040938705	0	NaN	NaN	0	1	1	0	1	0
3	1	3	18	36567	6236	0.40968559763859957457	0	1	552.96863500552717596	0	NaN	NaN	0	1	1	0	1	0
3	1	3	19	60038	2259	0.40973190800286829472	0	1	676.71420398983173072	0	NaN	NaN	0	1	1	0	1	0
3	1	3	20	38523	3968	0.40977818821556866169	0	1	586.13972998864483088	0	NaN	NaN	0	1	1	0	1	0
3	1	3	21	32480	2980	0.40982449671719223261	0	1	521.73873000720050186	0	NaN	NaN	0	1	1	0	1	0
3	1	3	22	51199	9718	0.40987077611498534679	0	1	611.28708299656864256	0	NaN	NaN	0	1	1	0	1	0
3	1	3	23	46174	1550	0.40991706878412514925	0	1	901.97351000097114593	0	NaN	NaN	0	1	1	0	1	0
3	1	3	24	32480	2980	0.40996336645912379026	1	1	2538.2512399955885485	1	2	NaN	1	1	1	1	2	0
3	1	3	25	38357	6274	0.41005595226306468248	0	1	729.8927680094493553	0	NaN	NaN	0	1	1	0	1	0
3	1	3	26	66945	6666	0.41010224679484963417	0	1	635.10752000729553401	0	NaN	NaN	0	1	1	0	1	0
3	1	3	27	69603	3580	0.41014854272361844778	0	1	902.65865800029132515	0	NaN	NaN	0	1	1	0	1	0
